
2026-02-07T20:56:52.304685Z	 2554 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ where patient0_.voided=0
2026-02-07T20:56:52.581555Z	 2554 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.599077Z	 2555 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '2000-10-31' and c.birth_date >= '1995-10-31')
2026-02-07T20:56:52.604396Z	 2555 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.604633Z	 2555 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.617871Z	 2554 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '1995-10-31' and c.birth_date >= '1990-10-31')
2026-02-07T20:56:52.623082Z	 2554 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.623349Z	 2554 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.627941Z	 2554 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '1990-10-31' and c.birth_date >= '1985-10-31')
2026-02-07T20:56:52.633095Z	 2554 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.633358Z	 2554 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.658862Z	 2554 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '1985-10-31' and c.birth_date >= '1980-10-31')
2026-02-07T20:56:52.663837Z	 2554 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.664128Z	 2554 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.687164Z	 2554 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '1980-10-31' and c.birth_date >= '1975-10-31')
2026-02-07T20:56:52.692326Z	 2554 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.692578Z	 2554 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.697131Z	 2554 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '2020-10-31' and c.birth_date >= '2015-10-31')
2026-02-07T20:56:52.702254Z	 2554 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.702514Z	 2554 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.707205Z	 2554 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and c.birth_date <= '1975-10-31'
2026-02-07T20:56:52.712188Z	 2554 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.712545Z	 2554 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.717552Z	 2558 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '2025-10-31' and c.birth_date >= '2024-10-31')
2026-02-07T20:56:52.723135Z	 2558 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.723501Z	 2558 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.770834Z	 2555 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and c.birth_date <= '2010-10-31'
2026-02-07T20:56:52.775951Z	 2555 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.776257Z	 2555 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.781175Z	 2558 Query	select c.id from kenyaemr_hiv_testing_patient_contact c where c.voided = 0 and (c.birth_date <= '2025-10-31' and c.birth_date >= '2010-10-31')
2026-02-07T20:56:52.786506Z	 2558 Query	SELECT @@session.transaction_read_only
2026-02-07T20:56:52.786819Z	 2558 Query	update reporting_report_request set uuid='485528e5-6b3e-40c2-a15a-683d58619b0c', base_cohort_uuid=null, base_cohort_parameters=null, report_definition_uuid='d6e5dd4c-e3f5-11e8-9f32-f2801f1b9fd1', report_definition_parameters='<map id="1">\n  <entry>\n    <string>endDate</string>\n    <date id="2">2025-10-30 21:00:00 UTC</date>\n  </entry>\n  <entry>\n    <string>dateBasedReporting</string>\n    <string>-1</string>\n  </entry>\n  <entry>\n    <string>startDate</string>\n    <date id="3">2025-09-30 21:00:00 UTC</date>\n  </entry>\n</map>', renderer_type='org.openmrs.module.reporting.web.renderers.DefaultWebRenderer', renderer_argument=null, requested_by=1, request_datetime='2026-02-07 23:56:49', priority='HIGHEST', status='PROCESSING', schedule=null, process_automatically=0, evaluation_start_datetime='2026-02-07 23:56:52', evaluation_complete_datetime=null, render_complete_datetime=null, minimum_days_to_preserve=null, description=null where id=978
2026-02-07T20:56:52.808274Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2025-10-30 23:59:59.999' and patient0_1_.birthdate>'2025-10-18 00:00:00'
2026-02-07T20:56:52.812685Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:52.821376Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2025-10-31 23:59:59.999' and patient0_1_.birthdate>'2025-07-31 00:00:00'
2026-02-07T20:56:52.825587Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:52.832976Z	 2558 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2025-10-31 23:59:59.999' and patient0_1_.birthdate>'2025-08-31 00:00:00'
2026-02-07T20:56:52.837228Z	 2558 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:52.861476Z	 2558 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2025-10-31 23:59:59.999' and patient0_1_.birthdate>'2015-10-31 00:00:00'
2026-02-07T20:56:52.866418Z	 2558 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:52.887099Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2024-10-31 23:59:59.999'
2026-02-07T20:56:52.903016Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:52.930582Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2024-10-31 23:59:59.999' and patient0_1_.birthdate>'2020-10-31 00:00:00'
2026-02-07T20:56:52.934795Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:52.948573Z	 2564 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2024-10-31 23:59:59.999' and patient0_1_.birthdate>'2015-10-31 00:00:00'
2026-02-07T20:56:52.952889Z	 2564 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:52.966399Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2024-12-31 23:59:59.999' and patient0_1_.birthdate>'2024-09-30 00:00:00'
2026-02-07T20:56:52.970853Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:52.983657Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2015-10-31 23:59:59.999' and patient0_1_.birthdate>'2010-10-31 00:00:00'
2026-02-07T20:56:52.988596Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:53.001825Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2015-10-31 23:59:59.999' and patient0_1_.birthdate>'2007-10-31 00:00:00'
2026-02-07T20:56:53.006889Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:53.020519Z	 2564 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2015-10-31 23:59:59.999' and patient0_1_.birthdate>'2005-10-31 00:00:00'
2026-02-07T20:56:53.025882Z	 2564 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:53.040065Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2025-08-08 23:59:59.999' and patient0_1_.birthdate>'2025-05-09 00:00:00'
2026-02-07T20:56:53.044546Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:53.057704Z	 2564 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2010-10-31 23:59:59.999'
2026-02-07T20:56:53.089657Z	 2564 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:53.118475Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2010-10-31 23:59:59.999' and patient0_1_.birthdate>'2005-10-31 00:00:00'
2026-02-07T20:56:53.123034Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:53.136364Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2007-10-31 23:59:59.999' and patient0_1_.birthdate>'1975-10-31 00:00:00'
2026-02-07T20:56:53.149945Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:53.171934Z	 2564 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2025-08-31 23:59:59.999' and patient0_1_.birthdate>'2024-09-30 00:00:00'
2026-02-07T20:56:53.176355Z	 2564 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
2026-02-07T20:56:53.188943Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and patient0_1_.birthdate<='2005-10-31 23:59:59.999' and patient0_1_.birthdate>'2000-10-31 00:00:00'
2026-02-07T20:56:53.193196Z	 2555 Query	select patient0_.patient_id as col_0_0_ from patient patient0_ inner join person patient0_1_ on patient0_.patient_id=patient0_1_.person_id where patient0_.voided=0 and (patient0_1_.birthdate is null)
