"D4T+3TC+LPV+RIT-AD","Patients having (D4T+3TC+LPV+RIT) regimen (Adults)","0"
"D4T+3TC+LPV+RIT-TT","Patients having (D4T+3TC+LPV+RIT) regimen (grand total)","0"
"AZT+TDF+3TC+LPV+RIT-CH","Patients having (AZT+TDF+3TC+LPV+RIT) regimen (Children)","0"
"AZT+TDF+3TC+LPV+RIT-AD","Patients having (AZT+TDF+3TC+LPV+RIT) regimen (Adults)","0"
"AZT+TDF+3TC+LPV+RIT-TT","Patients having (AZT+TDF+3TC+LPV+RIT) regimen (grand total)","0"
"ABC+TDF+3TC+LPV+RIT-CH","Patients having (ABC+TDF+3TC+LPV+RIT) regimen (Children)","0"
"ABC+TDF+3TC+LPV+RIT-AD","Patients having (ABC+TDF+3TC+LPV+RIT) regimen (Adults)","0"
"ABC+TDF+3TC+LPV+RIT-TT","Patients having (ABC+TDF+3TC+LPV+RIT) regimen (grand total)","0"
"ETR+RAL+DRV+RIT-CH","Patients having (ETR+RAL+DRV+RIT) regimen (Children)","0"
"ETR+RAL+DRV+RIT-AD","Patients having (ETR+RAL+DRV+RIT) regimen (Adults)","0"
"ETR+RAL+DRV+RIT-TT","Patients having (ETR+RAL+DRV+RIT) regimen (grand total)","0"
"ETR+TDF+3TC+LPV+RIT-CH","Patients having (ETR+TDF+3TC+LPV+RIT) regimen (Children)","0"
"ETR+TDF+3TC+LPV+RIT-AD","Patients having (ETR+TDF+3TC+LPV+RIT) regimen (Adults)","0"
"ETR+TDF+3TC+LPV+RIT-TT","Patients having (ETR+TDF+3TC+LPV+RIT) regimen (grand total)","0"
"TDF+3TC+ATV/r-CH","Patients having (TDF+3TC+ATV/r) regimen (Children)","0"
"TDF+3TC+ATV/r-AD","Patients having (TDF+3TC+ATV/r) regimen (Adults)","0"
"TDF+3TC+ATV/r-TT","Patients having (TDF+3TC+ATV/r) regimen (grand total)","0"
"AZT+3TC+ATV/r-CH","Patients having (AZT+3TC+ATV/r) regimen (Children)","0"
"AZT+3TC+ATV/r-AD","Patients having (AZT+3TC+ATV/r) regimen (Adults)","0"
"AZT+3TC+ATV/r-TT","Patients having (AZT+3TC+ATV/r) regimen (grand total)","0"
"AZT+3TC+DTG-CH","Patients having (AZT+3TC+DTG) regimen (Children)","0"
"AZT+3TC+DTG-AD","Patients having (AZT+3TC+DTG) regimen (Adults)","0"
"AZT+3TC+DTG-TT","Patients having (AZT+3TC+DTG) regimen (grand total)","0"
"TDF+3TC+DTG-CH","Patients having (TDF+3TC+DTG) regimen (Children)","0"
"TDF+3TC+DTG-AD","Patients having (TDF+3TC+DTG) regimen (Adults)","11"
"TDF+3TC+DTG-TT","Patients having (TDF+3TC+DTG) regimen (grand total)","11"
"ABC+3TC+DTG-CH","Patients having (ABC+3TC+DTG) regimen (Children)","0"
"ABC+3TC+DTG-AD","Patients having (ABC+3TC+DTG) regimen (Adults)","0"
"ABC+3TC+DTG-TT","Patients having (ABC+3TC+DTG) regimen (grand total)","0"
"RAL+3TC+DRV+RTV-CH","Patients having (RAL+3TC+DRV+RTV) regimen (Children)","0"
"RAL+3TC+DRV+RTV-AD","Patients having (RAL+3TC+DRV+RTV) regimen (Adults)","0"
"RAL+3TC+DRV+RTV-TT","Patients having (RAL+3TC+DRV+RTV) regimen (grand total)","0"
"RAL+3TC+DRV+RTV+AZT-CH","Patients having (RAL+3TC+DRV+RTV+AZT) regimen (Children)","0"
"RAL+3TC+DRV+RTV+AZT-AD","Patients having (RAL+3TC+DRV+RTV+AZT) regimen (Adults)","0"
"RAL+3TC+DRV+RTV+AZT-TT","Patients having (RAL+3TC+DRV+RTV+AZT) regimen (grand total)","0"
"RAL+3TC+DRV+RTV+ABC-CH","Patients having (RAL+3TC+DRV+RTV+ABC) regimen (Children)","0"
"RAL+3TC+DRV+RTV+ABC-AD","Patients having (RAL+3TC+DRV+RTV+ABC) regimen (Adults)","0"
"RAL+3TC+DRV+RTV+ABC-TT","Patients having (RAL+3TC+DRV+RTV+ABC) regimen (grand total)","0"
"ETV+3TC+DRV+RTV-CH","Patients having (ETV+3TC+DRV+RTV) regimen (Children)","0"
"ETV+3TC+DRV+RTV-AD","Patients having (ETV+3TC+DRV+RTV) regimen (Adults)","0"
"ETV+3TC+DRV+RTV-TT","Patients having (ETV+3TC+DRV+RTV) regimen (grand total)","0"
"RAL+3TC+DRV+RTV+TDF-CH","Patients having (RAL+3TC+DRV+RTV+TDF) regimen (Children)","0"
"RAL+3TC+DRV+RTV+TDF-AD","Patients having (RAL+3TC+DRV+RTV+TDF) regimen (Adults)","0"
"RAL+3TC+DRV+RTV+TDF-TT","Patients having (RAL+3TC+DRV+RTV+TDF) regimen (grand total)","0"
"TDF+3TC+DTG+DRV/r-CH","Patients having (TDF+3TC+DTG+DRV/r) regimen (Children)","0"
"TDF+3TC+DTG+DRV/r-AD","Patients having (TDF+3TC+DTG+DRV/r) regimen (Adults)","0"
"TDF+3TC+DTG+DRV/r-TT","Patients having (TDF+3TC+DTG+DRV/r) regimen (grand total)","0"
"TDF+3TC+RAL+DRV/r-CH","Patients having (TDF+3TC+RAL+DRV/r) regimen (Children)","0"
"TDF+3TC+RAL+DRV/r-AD","Patients having (TDF+3TC+RAL+DRV/r) regimen (Adults)","0"
"TDF+3TC+RAL+DRV/r-TT","Patients having (TDF+3TC+RAL+DRV/r) regimen (grand total)","0"
"TDF+3TC+DTG+EFV+DRV/r-CH","Patients having (TDF+3TC+DTG+EFV+DRV/r) regimen (Children)","0"
"TDF+3TC+DTG+EFV+DRV/r-AD","Patients having (TDF+3TC+DTG+EFV+DRV/r) regimen (Adults)","0"
"TDF+3TC+DTG+EFV+DRV/r-TT","Patients having (TDF+3TC+DTG+EFV+DRV/r) regimen (grand total)","0"
"ABC+3TC+RAL-CH","Patients having (ABC+3TC+RAL) regimen (Children)","0"
"ABC+3TC+RAL-AD","Patients having (ABC+3TC+RAL) regimen (Adults)","0"
"ABC+3TC+RAL-TT","Patients having (ABC+3TC+RAL) regimen (grand total)","0"
"AZT+3TC+RAL+DRV/r-CH","Patients having (AZT+3TC+RAL+DRV/r) regimen (Children)","0"
"AZT+3TC+RAL+DRV/r-AD","Patients having (AZT+3TC+RAL+DRV/r) regimen (Adults)","0"
"AZT+3TC+RAL+DRV/r-TT","Patients having (AZT+3TC+RAL+DRV/r) regimen (grand total)","0"
"ABC+3TC+RAL+DRV/r-CH","Patients having (ABC+3TC+RAL+DRV/r) regimen (Children)","0"
"ABC+3TC+RAL+DRV/r-AD","Patients having (ABC+3TC+RAL+DRV/r) regimen (Adults)","0"
"ABC+3TC+RAL+DRV/r-TT","Patients having (ABC+3TC+RAL+DRV/r) regimen (grand total)","0"
